운영우선순위,최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,최종점수,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,액션버킷,shortlist_선정여부,shortlist_유형,추천사유,주의사유,자동판정근거,변화요약
238,358,UC3dS-MOd1rfp0W2o153VIrg,드라마 속 인생,창작·비주얼형,코스프레,73600.0,2601181.3,0.0296716136258376,0.6206228526997839,0.8669816414686824,0.5,0.537257019438445,0.3960583153347732,0.98432,성장관찰,True,성장관찰형,최종점수 상위 20%,성장성 신뢰도 낮음,"최종=0.621, 채널력=0.867, 성장성=0.500, 팬밀도=0.537, 라이브=0.396, 실전성=0.984, 운영제외리스크=0.000, 검증필요리스크=0.196",순위 17단계 하락 / 최종점수 -0.002 / shortlist 신규 선정
239,359,UCMYjYgur8T6128PpNY5LSNg,박할배,음악·보이스형,성우더빙,11700.0,378.2,0.0290283413320343,0.6203061586875541,0.4101511879049676,0.7324129937536838,0.521598272138229,0.5349709281801289,1.0,성장관찰,True,성장관찰형,최종점수 상위 20% / 성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.620, 채널력=0.410, 성장성=0.732, 팬밀도=0.522, 라이브=0.535, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 17단계 하락 / 최종점수 -0.002 / 성장성 +0.000 / shortlist 신규 선정
240,360,UCNXcBeqPRuXAFTDENs2FSxQ,보라매,,서브컬쳐게임,25400.0,40361.4,0.0196669412151974,0.6201664311015118,0.7616900647948164,0.5,0.3439524838012959,0.8857991360691143,0.97704,성장관찰,True,성장관찰형,최종점수 상위 20% / 라이브친화도 상위권,상위 세그먼트 불명확 / 성장성 신뢰도 낮음,"최종=0.620, 채널력=0.762, 성장성=0.500, 팬밀도=0.344, 라이브=0.886, 실전성=0.977, 운영제외리스크=0.000, 검증필요리스크=0.287",순위 6단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
241,363,UCXkW_NQa79FM1mNWnTm2X-w,방찌,버츄얼 퍼포먼스형,버튜버,21500.0,19495.7,0.0219013961054229,0.6197898488071338,0.7142548596112311,0.6565400839237302,0.3898488120950324,0.4203721168874098,1.0,성장관찰,True,성장관찰형,최종점수 상위 20% / 성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.620, 채널력=0.714, 성장성=0.657, 팬밀도=0.390, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 10단계 하락 / 최종점수 -0.001 / 성장성 -0.000 / shortlist 신규 선정
242,374,UC5Of3MHaW8ydbpGCILxpd7Q,카코토피아,음악·보이스형,성우더빙,3940.0,54566.4,0.0337067024459323,0.6178894421386195,0.5937634989200864,0.6104597392189927,0.6063714902807775,0.4203721168874098,0.99104,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.618, 채널력=0.594, 성장성=0.610, 팬밀도=0.606, 라이브=0.420, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112",순위 6단계 상승 / 최종점수 +0.001 / 성장성 -0.000 / shortlist 신규 선정
243,381,UCXe50iChujk0wukMZ9zDhrw,은하린,버츄얼 퍼포먼스형,버튜버,1320.0,2981.2,0.0543075350146822,0.617417497664399,0.2919951403887689,0.682541000468884,0.8142548596112311,0.4203721168874098,0.99104,성장관찰,True,성장관찰형,성장성 상위권 / 팬밀도 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.617, 채널력=0.292, 성장성=0.683, 팬밀도=0.814, 라이브=0.420, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112",순위 19단계 하락 / 최종점수 -0.002 / 성장성 -0.000 / shortlist 신규 선정
244,385,UC0QDb4XkScbRzNNQWnIywjg,하루토 【싸이코드】,버츄얼 퍼포먼스형,버튜버,300000.0,53333.7,0.0792495884660517,0.616663821816183,0.5839497840172786,0.5093533244605216,0.9249460043196543,0.4203721168874098,0.8664000000000001,성장관찰,True,성장관찰형,팬밀도 상위권,수집 영상 수 부족 / 성장성 신뢰도 낮음,"최종=0.617, 채널력=0.584, 성장성=0.509, 팬밀도=0.925, 라이브=0.420, 실전성=0.866, 운영제외리스크=0.000, 검증필요리스크=0.420",순위 77단계 상승 / 최종점수 +0.012 / 성장성 +0.000 / shortlist 신규 선정
245,387,UC2dR2zuWwz8FHP7JVXp5cyg,이플,음악·보이스형,보컬로이드JPOP커버,2120.0,461.4,0.1404802551595653,0.616496162850972,0.1574379049676025,0.5,0.9848812095032398,0.8201943844492442,0.97536,성장관찰,True,성장관찰형,팬밀도 상위권 / 라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.616, 채널력=0.157, 성장성=0.500, 팬밀도=0.985, 라이브=0.820, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 4단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
246,390,UCUCTB6SlKi41uFglgP36rVg,포항MBC,창작·비주얼형,일러스트리깅,175000.0,600.2,0.0417010225547829,0.6162707260236385,0.2575728941684664,0.8163197503171405,0.7192224622030238,0.4203721168874098,0.98208,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.616, 채널력=0.258, 성장성=0.816, 팬밀도=0.719, 라이브=0.420, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 377단계 상승 / 최종점수 +0.047 / 성장성 +0.000 / 버킷 변경: 보류 → 성장관찰 / shortlist 신규 선정
247,399,UCF8OdqnUoSpQ1ilJmf93Ezw,은별,버츄얼 퍼포먼스형,버튜버,3330.0,858.3,0.0675836992789616,0.6145229606911446,0.4904427645788337,0.5,0.8860691144708424,0.3960583153347732,0.98432,성장관찰,True,성장관찰형,팬밀도 상위권,성장성 신뢰도 낮음,"최종=0.615, 채널력=0.490, 성장성=0.500, 팬밀도=0.886, 라이브=0.396, 실전성=0.984, 운영제외리스크=0.000, 검증필요리스크=0.196",순위 7단계 하락 / 최종점수 -0.001 / shortlist 신규 선정
248,404,UC9LB3BsrAb9IJeO6L8r7s0Q,김영민경마,,서브컬쳐게임,2040.0,2610.2,0.0324568947289798,0.6137432784566826,0.4560745140388769,0.7110565227369131,0.5885529157667386,0.4203721168874098,0.99272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.614, 채널력=0.456, 성장성=0.711, 팬밀도=0.589, 라이브=0.420, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 33단계 하락 / 최종점수 -0.004 / 성장성 +0.000 / shortlist 신규 선정
249,411,UCcmA9m8Tc1urW20Ai25K5qg,으미 Umi,버츄얼 퍼포먼스형,버튜버,3750.0,518.4,0.0839723712336008,0.6124302181425486,0.148285637149028,0.5,0.933585313174946,0.949244060475162,0.9664,성장관찰,True,성장관찰형,팬밀도 상위권 / 라이브친화도 상위권,수집 영상 수 부족 / 성장성 신뢰도 낮음,"최종=0.612, 채널력=0.148, 성장성=0.500, 팬밀도=0.934, 라이브=0.949, 실전성=0.966, 운영제외리스크=0.000, 검증필요리스크=0.420",순위 6단계 하락 / 최종점수 -0.001 / shortlist 신규 선정
250,416,UCNmh7ydaPgJ-A2R3Z9BICwQ,사라사라라 / SRSRR,버츄얼 퍼포먼스형,버튜버,25000.0,6637.2,0.1050668911412152,0.6119027503239741,0.4473407127429805,0.5,0.9632829373650108,0.3960583153347732,0.97536,성장관찰,True,성장관찰형,팬밀도 상위권,성장성 신뢰도 낮음,"최종=0.612, 채널력=0.447, 성장성=0.500, 팬밀도=0.963, 라이브=0.396, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 3단계 하락 / 최종점수 +0.000 / shortlist 신규 선정
251,418,UCFkPqPmDovWN4zBWYjqnV-A,전유하 유튜브,게임 실황형,로블록스,54100.0,1695.4,0.0221750296282326,0.6115427161325162,0.6390523758099352,0.6806584314372442,0.3968682505399568,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.612, 채널력=0.639, 성장성=0.681, 팬밀도=0.397, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 48단계 하락 / 최종점수 -0.006 / 성장성 +0.001 / shortlist 신규 선정
252,424,UCJ1OTZI4pJCIY7ojhnsRUCw,스노Snoo,버츄얼 퍼포먼스형,버튜버,11400.0,1111.0,0.0344052696559851,0.6109340203023758,0.3871895248380129,0.5,0.6204103671706264,0.896328293736501,0.98656,성장관찰,True,성장관찰형,라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.611, 채널력=0.387, 성장성=0.500, 팬밀도=0.620, 라이브=0.896, 실전성=0.987, 운영제외리스크=0.000, 검증필요리스크=0.168",순위 5단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
253,433,UCWJQC3z8zetySVegPexAcaQ,위프 WIP,음악·보이스형,보컬로이드JPOP커버,2460.0,765.4,0.0765032077861248,0.6089430152802725,0.1856776457883368,0.5086753637529737,0.9157667386609072,0.8135956590040405,0.97536,성장관찰,True,성장관찰형,팬밀도 상위권 / 라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.609, 채널력=0.186, 성장성=0.509, 팬밀도=0.916, 라이브=0.814, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 6단계 하락 / 최종점수 -0.000 / 성장성 +0.000 / shortlist 신규 선정
254,435,UCAwFpU5cbwJbPa_OXewOVAA,GODA(전승현),,음악기타,8200.0,5186.5,0.0245316265304694,0.608755115154384,0.6492980561555075,0.6606379049571822,0.4368250539956803,0.4203721168874098,0.99272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.609, 채널력=0.649, 성장성=0.661, 팬밀도=0.437, 라이브=0.420, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 15단계 하락 / 최종점수 -0.002 / 성장성 +0.000 / shortlist 신규 선정
255,436,UCVIPgc-A4ru5OFml9QG3PBw,비트저니,창작·비주얼형,코스프레,28000.0,90236.3,0.0178448912391204,0.6083186753678296,0.7975431965442765,0.6150412926371062,0.3072354211663067,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.608, 채널력=0.798, 성장성=0.615, 팬밀도=0.307, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 11단계 하락 / 최종점수 -0.001 / 성장성 -0.000 / shortlist 신규 선정
256,438,UCTZB-SiWpzb5WRnWfSnndCw,방구석 피아니스트,음악·보이스형,JPOP커버,2210.0,2108.4,0.0821583969761338,0.6080618214602448,0.2175080993520517,0.6525992719705551,0.9303455723542116,0.4203721168874098,0.98208,성장관찰,True,성장관찰형,성장성 상위권 / 팬밀도 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.608, 채널력=0.218, 성장성=0.653, 팬밀도=0.930, 라이브=0.420, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 10단계 하락 / 최종점수 -0.001 / 성장성 +0.001 / shortlist 신규 선정
257,442,UC5cL-ngJTMStpwpkK3s729w,뉴냥이,버츄얼 퍼포먼스형,버튜버,10200.0,9200.9,0.0337745607097059,0.6073779123110151,0.4476106911447084,0.5,0.6085313174946004,0.8857991360691143,0.97536,성장관찰,True,성장관찰형,라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.607, 채널력=0.448, 성장성=0.500, 팬밀도=0.609, 라이브=0.886, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 6단계 하락 / 최종점수 +0.000 / shortlist 신규 선정
258,443,UCzK-DWUM33WQrKxF6lH0o7g,윈쁘,게임 실황형,명일방주,6840.0,48750.1,0.0203780309760572,0.6068894571034833,0.7243520518358532,0.6267160993603992,0.3590712742980561,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.607, 채널력=0.724, 성장성=0.627, 팬밀도=0.359, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 91단계 상승 / 최종점수 +0.009 / 성장성 +0.001 / shortlist 신규 선정
259,444,UCwv-UfcqPB-Fa8SOBhYYmIQ,경인방송,,서브컬쳐게임,62200.0,737.8,0.0350048220606716,0.6068630987368446,0.4764308855291576,0.636550018492197,0.6317494600431965,0.4203721168874098,0.99272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.607, 채널력=0.476, 성장성=0.637, 팬밀도=0.632, 라이브=0.420, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 322단계 하락 / 최종점수 -0.068 / 성장성 -0.000 / 버킷 변경: 즉시검토 → 성장관찰 / shortlist 신규 선정
260,445,UCfJWNsFuKV7R7vBhSXENJKg,특이점이 온 키리누키,창작·비주얼형,코스프레,1360.0,7443.4,0.024150369430276,0.6067908229758632,0.6089092872570194,0.6597948744214291,0.4319654427645788,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.607, 채널력=0.609, 성장성=0.660, 팬밀도=0.432, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 상승 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
261,453,UCWP66aPA8tkeExuXr07rpkg,중랑방송,창작·비주얼형,일러스트리깅,7380.0,873.0,0.026721111564378,0.6059502839465039,0.4286177105831533,0.7581466981595241,0.4832613390928725,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.606, 채널력=0.429, 성장성=0.758, 팬밀도=0.483, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 322단계 하락 / 최종점수 -0.065 / 성장성 +0.000 / 버킷 변경: 즉시검토 → 성장관찰 / shortlist 신규 선정
262,454,UCsyrA-LQPudEhSCdQPm_4Kw,ramurin ෆ 라무링,음악·보이스형,성우더빙,21000.0,3731.7,0.0468967048714127,0.6059080985994988,0.3573299136069114,0.4983534413278104,0.7624190064794817,0.8532824840580361,0.9664,성장관찰,True,성장관찰형,라이브친화도 상위권,수집 영상 수 부족 / 성장성 신뢰도 낮음,"최종=0.606, 채널력=0.357, 성장성=0.498, 팬밀도=0.762, 라이브=0.853, 실전성=0.966, 운영제외리스크=0.000, 검증필요리스크=0.420",순위 5단계 하락 / 최종점수 -0.000 / 성장성 -0.000 / shortlist 신규 선정
263,455,UCFIoY52twxA2ek_Ud0J2VxQ,지빵이,음악·보이스형,성우,2090.0,27346.1,0.0173572058492534,0.6057347344321438,0.6401727861771058,0.7404916578544581,0.2931965442764578,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.606, 채널력=0.640, 성장성=0.740, 팬밀도=0.293, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 상승 / 최종점수 +0.001 / 성장성 -0.000 / shortlist 신규 선정
264,456,UC8K9_srHSHnbL5R2qrwVdtg,스타한줌,,음악기타,15500.0,114917.2,0.0174513697060116,0.6056399525930507,0.6026862850971922,0.833449823609626,0.2953563714902807,0.4203721168874098,0.98376,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.606, 채널력=0.603, 성장성=0.833, 팬밀도=0.295, 라이브=0.420, 실전성=0.984, 운영제외리스크=0.000, 검증필요리스크=0.203",순위 107단계 상승 / 최종점수 +0.012 / 성장성 -0.000 / shortlist 신규 선정
265,459,UCCj9UxY_JI2kw7NmCbBbgDw,건전한씹덕쉑,,서브컬쳐게임,1770.0,20899.6,0.0238776382529591,0.6054231223546814,0.4985961123110151,0.8126401398672242,0.4249460043196544,0.4203721168874098,0.98376,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.605, 채널력=0.499, 성장성=0.813, 팬밀도=0.425, 라이브=0.420, 실전성=0.984, 운영제외리스크=0.000, 검증필요리스크=0.203",순위 17단계 하락 / 최종점수 -0.001 / 성장성 -0.000 / shortlist 신규 선정
266,460,UCVLPIvrlm0Y63MFRiVOZl-A,HugeXHugo 휴즈X휴고,,서브컬쳐게임,4960.0,375.4,0.0388349893422268,0.605417138078852,0.2995815334773217,0.4928760593220339,0.6884449244060475,0.9732721382289417,0.97704,성장관찰,True,성장관찰형,라이브친화도 상위권,상위 세그먼트 불명확 / 성장성 신뢰도 낮음,"최종=0.605, 채널력=0.300, 성장성=0.493, 팬밀도=0.688, 라이브=0.973, 실전성=0.977, 운영제외리스크=0.000, 검증필요리스크=0.287",순위 8단계 하락 / 최종점수 -0.000 / 성장성 -0.000 / shortlist 신규 선정
267,463,UClcl8Yqz5-Oekx5S9ssOwyw,민부릉,음악·보이스형,보컬로이드JPOP커버,3640.0,4085.5,0.0383175505924929,0.6050743536296079,0.374932505399568,0.4928760593220339,0.6798056155507559,0.8857991360691143,0.97536,성장관찰,True,성장관찰형,라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.605, 채널력=0.375, 성장성=0.493, 팬밀도=0.680, 라이브=0.886, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 5단계 하락 / 최종점수 +0.000 / 성장성 -0.000 / shortlist 신규 선정
268,468,UC605TD1BbalS45Lv05IKkXg,돌아에몽,창작·비주얼형,코스프레,8920.0,237749.5,0.0100942036180028,0.6040524430042733,0.8517548596112311,0.6993342146956797,0.1263498920086393,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.604, 채널력=0.852, 성장성=0.699, 팬밀도=0.126, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 5단계 상승 / 최종점수 +0.001 / 성장성 -0.000 / shortlist 신규 선정
269,469,UCat_zyoNLdvLOFtwkc0aJhg,케이팝덕후,음악·보이스형,애니송커버,21900.0,61694.4,0.0298310262658458,0.6040154852224411,0.5924271058315335,0.6115973738056122,0.5431965442764579,0.4203721168874098,0.99104,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.604, 채널력=0.592, 성장성=0.612, 팬밀도=0.543, 라이브=0.420, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112",순위 16단계 하락 / 최종점수 -0.001 / 성장성 +0.000 / shortlist 신규 선정
270,473,UCQ6U5-P5SrwazMxks6xEwPw,임지,창작·비주얼형,코스프레,7590.0,5541.5,0.0312692204587177,0.6037108615277855,0.3919951403887689,0.7463548501198244,0.5707343412526998,0.4203721168874098,0.99104,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.604, 채널력=0.392, 성장성=0.746, 팬밀도=0.571, 라이브=0.420, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112",순위 19단계 하락 / 최종점수 -0.001 / 성장성 +0.000 / shortlist 신규 선정
271,474,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,,음악기타,1650000.0,403954.6,0.0115717795521209,0.6036450153340402,0.94738120950324,0.6756431022973619,0.1555075593952483,0.4203721168874098,0.89272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.604, 채널력=0.947, 성장성=0.676, 팬밀도=0.156, 라이브=0.420, 실전성=0.893, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 11단계 하락 / 최종점수 -0.001 / 성장성 +0.001 / shortlist 신규 선정
272,475,UCZ_JAlrne0so-wVnHSVP5NQ,에타비,,서브컬쳐게임,1860.0,6049.2,0.0315470121750513,0.6035718912789582,0.5172786177105831,0.6380959992620099,0.5739740820734341,0.4203721168874098,0.99272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.604, 채널력=0.517, 성장성=0.638, 팬밀도=0.574, 라이브=0.420, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 10단계 하락 / 최종점수 -0.001 / 성장성 +0.002 / shortlist 신규 선정
273,479,UCXRcD5w4Pfh1o_ySwSN7AsA,피루[PIRU],버츄얼 퍼포먼스형,버튜버,27000.0,3380.5,0.0540428164631854,0.6028259776424001,0.3565739740820733,0.6175449238707239,0.8120950323974082,0.4203721168874098,0.98208,성장관찰,True,성장관찰형,성장성 상위권 / 팬밀도 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.603, 채널력=0.357, 성장성=0.618, 팬밀도=0.812, 라이브=0.420, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 20단계 하락 / 최종점수 -0.002 / 성장성 +0.000 / shortlist 신규 선정
274,483,UCJ51bYswgGAUgwrEmK0ewGw,나토리 만믈상인,음악·보이스형,보컬로이드JPOP커버,2650.0,4468.3,0.0840473455872596,0.6026191904967603,0.399244060475162,0.5,0.9346652267818576,0.3960583153347732,0.98208,성장관찰,True,성장관찰형,팬밀도 상위권,주요 자동 리스크 낮음,"최종=0.603, 채널력=0.399, 성장성=0.500, 팬밀도=0.935, 라이브=0.396, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 5단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
275,488,UCY3DR8fsxcY7Jw00buGXs2w,Re: 세계 매드라이프,게임 실황형,명일방주,8170.0,9737.9,0.0239247344903392,0.6021929341432305,0.6290226781857451,0.6322372338050377,0.4260259179265658,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.602, 채널력=0.629, 성장성=0.632, 팬밀도=0.426, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 17단계 하락 / 최종점수 -0.001 / 성장성 +0.001 / shortlist 신규 선정
276,490,UCVhsKaBXVOTPRKOl8US-kmA,참다래,버츄얼 퍼포먼스형,버튜버,11300.0,7098.8,0.0258515591430974,0.6018830173539576,0.6136069114470842,0.6114238932200844,0.4665226781857451,0.4203721168874098,1.0,성장관찰,True,성장관찰형,성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.602, 채널력=0.614, 성장성=0.611, 팬밀도=0.467, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 29단계 하락 / 최종점수 -0.002 / 성장성 -0.000 / shortlist 신규 선정
277,491,UCHHkbsAIVglw3SADXrrj0sA,시반 SHHVAN,버츄얼 퍼포먼스형,버튜버,2300.0,8389.6,0.0352364624218452,0.6017651664436473,0.4434935205183585,0.6476084614746841,0.6360691144708424,0.4203721168874098,0.99104,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.602, 채널력=0.443, 성장성=0.648, 팬밀도=0.636, 라이브=0.420, 실전성=0.991, 운영제외리스크=0.000, 검증필요리스크=0.112",순위 2단계 하락 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
278,492,UCdN8Xg-FyGOGlpMVu56VJJw,Dubybuba 한국어로,음악·보이스형,ASMR보이스,2170.0,8312.4,0.2385544664441521,0.60175210237581,0.3693439524838013,0.5,0.9951403887688984,0.3960583153347732,0.97536,성장관찰,True,성장관찰형,팬밀도 상위권,성장성 신뢰도 낮음,"최종=0.602, 채널력=0.369, 성장성=0.500, 팬밀도=0.995, 라이브=0.396, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 6단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
279,497,UCkR_KrJ3K2tteNpPvpNxv2A,이 신ᆞVtuber,버츄얼 퍼포먼스형,버튜버,4180.0,10094.3,0.0607351274285113,0.6010583661375729,0.4920356371490281,0.4721304751918052,0.853671706263499,0.4203721168874098,0.98208,성장관찰,True,성장관찰형,팬밀도 상위권,주요 자동 리스크 낮음,"최종=0.601, 채널력=0.492, 성장성=0.472, 팬밀도=0.854, 라이브=0.420, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 2단계 하락 / 최종점수 +0.000 / 성장성 -0.000 / shortlist 신규 선정
280,500,UC35BHBDODchKzeBGOXcsHSQ,옥탑청년,,커버기타,85500.0,370811.2,0.0090136237439699,0.6007979485079812,0.9377024838012958,0.6627125489151858,0.1096112311015118,0.4203721168874098,0.99272,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.601, 채널력=0.938, 성장성=0.663, 팬밀도=0.110, 라이브=0.420, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 13단계 하락 / 최종점수 -0.001 / 성장성 -0.000 / shortlist 신규 선정
281,502,UCCCgO-2b8jWLMkbzZbNNa6Q,짤막쇼츠,음악·보이스형,ASMR보이스,33600.0,29663.5,0.0200853948856766,0.6004828123092208,0.752645788336933,0.7498253515993417,0.3509719222462203,0.4203721168874098,0.956,성장관찰,True,성장관찰형,성장성 상위권 / 성장성 신뢰도 양호,리믹스/쇼츠/플레이리스트/재업로드성 채널 의심,"최종=0.600, 채널력=0.753, 성장성=0.750, 팬밀도=0.351, 라이브=0.420, 실전성=0.956, 운영제외리스크=0.220, 검증필요리스크=0.000",순위 2단계 상승 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
282,507,UCAfeWB5Nn5ICjCagXax2RMw,chuukii 츄우키,게임 실황형,로블록스,1380.0,6007.1,0.0389508936049664,0.6001840678185745,0.349932505399568,0.5,0.6895248380129589,0.8623110151187904,0.97536,성장관찰,True,성장관찰형,라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.600, 채널력=0.350, 성장성=0.500, 팬밀도=0.690, 라이브=0.862, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 4단계 하락 / 최종점수 -0.000 / shortlist 신규 선정
283,509,UCet69OefiLlFDeXEmwFGBog,쥬노링,버츄얼 퍼포먼스형,버튜버,10300.0,12853.2,0.0283351426362959,0.6000069619870411,0.5112985961123111,0.5,0.5113390928725702,0.8857991360691143,0.97536,성장관찰,True,성장관찰형,라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.600, 채널력=0.511, 성장성=0.500, 팬밀도=0.511, 라이브=0.886, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308",순위 21단계 하락 / 최종점수 -0.002 / shortlist 신규 선정
